train_loss,val_loss,train_acc,val_acc,model,epoch
0.23977237411340077,0.2040693794488907,0.9283541666666667,0.93625,DNN,1
0.08419906401634217,0.10399885759999354,0.9733125,0.9673333333333334,DNN,2
0.05694748788078626,0.09863588989029327,0.9817916666666666,0.96975,DNN,3
0.041005163649717964,0.14512529193113247,0.986625,0.9556666666666667,DNN,4
0.02910880629221598,0.09792622631043196,0.9905208333333333,0.9721666666666666,DNN,5
0.02295567883551121,0.11579105853723982,0.9920625,0.9680833333333333,DNN,6
0.020059130993982155,0.11386083459792037,0.9934166666666666,0.97075,DNN,7
0.013897910217444102,0.10054832389531657,0.9952708333333333,0.9744166666666667,DNN,8
0.013765374686568976,0.12025761059299112,0.9955208333333333,0.9705833333333334,DNN,9
0.018665986960132917,0.12802214765610795,0.9934166666666666,0.9703333333333334,DNN,10
0.15441162208716075,0.053824286339183645,0.9550833333333333,0.9830833333333333,CNN,1
0.03738611808915933,0.05490578312550982,0.9886666666666667,0.9836666666666667,CNN,2
0.0241822582979997,0.04324677446360389,0.992375,0.9873333333333333,CNN,3
0.01759124244004488,0.047785314362185694,0.9941666666666666,0.9856666666666667,CNN,4
0.010927391274521749,0.03663812281703577,0.9969583333333333,0.9895833333333334,CNN,5
0.0076728962411483125,0.042189360513351856,0.9975625,0.9870833333333333,CNN,6
0.006162923148522775,0.03669368140589601,0.9982708333333333,0.9898333333333333,CNN,7
0.004688902182194094,0.044492160689512575,0.9986041666666666,0.9883333333333333,CNN,8
0.006810049995159109,0.04906227760276912,0.9978958333333333,0.9879166666666667,CNN,9
0.0077174961858739455,0.04702539293149797,0.9975625,0.9873333333333333,CNN,10
0.40050297408302626,0.11755431271592776,0.8807708333333333,0.9641666666666666,ResNet,1
0.06758075597882271,0.33984283316135405,0.9791458333333334,0.89825,ResNet,2
0.05029064349333445,0.1620285258044799,0.9845625,0.9494166666666667,ResNet,3
0.038729288230339685,0.05877525223294894,0.9875416666666667,0.9830833333333333,ResNet,4
0.0339131405154864,0.06954806623701006,0.9888333333333333,0.9820833333333333,ResNet,5
0.02851626904805501,0.19795933920145034,0.9907291666666667,0.9436666666666667,ResNet,6
0.02651039838294188,0.07407116646133363,0.991125,0.97925,ResNet,7
0.020365303893884024,0.08173434207588434,0.9935625,0.9793333333333333,ResNet,8
0.02234247352182865,0.0685107566161702,0.9925625,0.9806666666666667,ResNet,9
0.020521896230677763,0.05544213731063064,0.993125,0.986,ResNet,10
